loss D fake train,loss D fake valid,loss D real train,loss D real valid,loss G GAN train,loss G GAN valid,loss G L1 train,loss G L1 valid,predict fake accuracy train,predict fake accuracy valid,predict real accuracy train,predict real accuracy valid
0.527706,1.117158,0.537053,0.560741,1.015789,0.429538,0.07248,0.062884,0.789195,0.0797,0.803464,0.843295
0.477446,0.470046,0.476509,0.874202,1.160825,1.054842,0.067707,0.078662,0.834505,0.890289,0.829536,0.324171
0.526393,0.560276,0.531835,0.86659,1.032943,0.977024,0.067165,0.069406,0.80245,0.754312,0.778329,0.367706
0.560195,0.428708,0.575473,0.977316,0.947143,1.13657,0.065281,0.070598,0.768134,0.937958,0.724603,0.201261
0.573107,0.842469,0.588478,0.55161,0.933247,0.659104,0.063833,0.061775,0.745429,0.376993,0.703198,0.733162
0.58593,0.609431,0.603432,0.691197,0.909453,0.954084,0.06278,0.083717,0.734376,0.74381,0.686378,0.4671
0.592743,0.630345,0.612412,0.677856,0.895487,0.792076,0.061489,0.064934,0.721463,0.68978,0.668931,0.603276
0.597738,0.508619,0.617844,0.966568,0.886661,1.022747,0.06055,0.057416,0.71144,0.809084,0.669973,0.248978
0.604083,0.587797,0.618088,0.80066,0.903566,0.867606,0.060001,0.059121,0.700212,0.773909,0.66216,0.31943
0.603241,0.779659,0.62859,0.571193,0.873194,0.648935,0.058551,0.0632,0.712207,0.362994,0.657774,0.786895
0.611125,0.628603,0.631554,0.713946,0.865878,0.807732,0.057797,0.055938,0.69662,0.644453,0.646879,0.541604
0.611063,0.831764,0.633396,0.541874,0.864947,0.644587,0.056917,0.058961,0.695084,0.306239,0.644466,0.830321
0.615286,0.968059,0.63729,0.518888,0.86092,0.618362,0.055917,0.055838,0.689389,0.335629,0.640613,0.757296
0.619762,0.590289,0.640107,0.749151,0.85619,0.850872,0.05475,0.056297,0.68018,0.788657,0.636559,0.375954
0.624769,0.293831,0.640413,1.387222,0.849229,1.481939,0.053686,0.058143,0.677515,0.984382,0.6405,0.050657
0.625167,0.285319,0.64318,1.353228,0.841787,1.500225,0.052563,0.060166,0.673578,0.98318,0.634681,0.067583
0.630904,0.348902,0.646188,1.367838,0.838274,1.40985,0.051264,0.054179,0.667275,0.92555,0.626415,0.099989
0.62896,0.62335,0.645929,0.777773,0.835824,0.924142,0.050049,0.057044,0.668462,0.581605,0.625916,0.516493
0.633121,0.376549,0.647603,1.112492,0.834984,1.203738,0.048751,0.051942,0.663206,0.982478,0.619636,0.06595
0.63459,0.426844,0.648392,1.178238,0.827453,1.194012,0.047357,0.057125,0.660765,0.883796,0.623884,0.132973
0.638774,0.522977,0.653433,0.909957,0.829155,1.016063,0.046127,0.052707,0.65458,0.775136,0.615717,0.314914
0.637212,0.777261,0.647297,0.624454,0.82278,0.67925,0.044955,0.059668,0.657838,0.400852,0.618134,0.682984
0.639693,0.665098,0.653874,0.687479,0.824729,0.773816,0.044061,0.052089,0.650914,0.666472,0.61864,0.471609
0.641284,0.545905,0.65329,0.883898,0.817692,0.930197,0.04303,0.053703,0.65496,0.84631,0.618322,0.201144
0.643515,0.588519,0.654664,0.79072,0.81534,0.870319,0.041945,0.051373,0.650151,0.735178,0.613445,0.383826
0.641786,1.459392,0.649092,0.263235,0.815075,0.29345,0.041213,0.05561,0.65382,0.013417,0.617755,0.994443
0.644447,0.630967,0.653965,0.772676,0.815294,0.802041,0.040391,0.052567,0.649765,0.708086,0.622561,0.351114
0.646166,1.170048,0.655824,0.392139,0.81415,0.403229,0.039264,0.053684,0.64831,0.049269,0.611035,0.951197
0.645305,0.43563,0.653224,1.040278,0.813123,1.097721,0.038758,0.050651,0.651913,0.962467,0.614747,0.091525
0.646268,1.447038,0.653729,0.541365,0.815965,0.473304,0.037922,0.057563,0.64755,0.253423,0.613749,0.730443
0.635642,0.256299,0.622582,1.510834,0.88812,1.594903,0.044878,0.053508,0.695512,0.994274,0.666939,0.013447
0.641593,1.409292,0.630273,0.336403,0.868233,0.312788,0.039138,0.053273,0.679614,0.016634,0.651572,0.977389
0.645258,0.915921,0.624642,0.59728,0.878126,0.590681,0.039282,0.052686,0.684244,0.293473,0.658879,0.709132
0.64606,0.420658,0.617752,1.230769,0.885302,1.247456,0.038568,0.051189,0.693925,0.936217,0.669179,0.040505
0.648294,2.372262,0.619992,0.115846,0.88656,0.122587,0.037825,0.053182,0.689859,0.004249,0.663358,0.99708
0.649907,0.329656,0.640663,1.27379,0.842826,1.337493,0.03564,0.050372,0.66761,0.98499,0.633273,0.041059
0.658562,0.108492,0.652827,2.444172,0.8274,2.512618,0.034507,0.049784,0.640099,0.999019,0.617678,0.002592
0.649408,0.781213,0.640916,0.650257,0.848063,0.650539,0.034793,0.051314,0.664776,0.37586,0.639215,0.596888
0.650327,0.543658,0.645487,0.990959,0.835111,0.957369,0.033632,0.052051,0.660919,0.80777,0.626544,0.114387
0.65404,1.442024,0.653514,0.368206,0.824983,0.412813,0.033072,0.050111,0.645824,0.192677,0.616832,0.884023
0.65828,1.608008,0.655505,0.241394,0.822537,0.245424,0.033033,0.051507,0.646173,0.005271,0.611142,0.996351
0.649389,0.184917,0.649008,2.013057,0.824049,1.919041,0.032102,0.049893,0.649917,0.991953,0.626031,0.0135
0.66038,0.307127,0.665449,1.342577,0.806742,1.401844,0.031468,0.048941,0.62843,0.997265,0.597741,0.013328
0.651149,0.316001,0.649531,1.320764,0.82983,1.359169,0.031771,0.048584,0.651915,0.994243,0.623446,0.016871
0.653068,0.389879,0.655478,1.152205,0.820836,1.20045,0.030875,0.050123,0.643703,0.974361,0.608579,0.036236
0.656993,0.366239,0.660287,1.27397,0.808625,1.231655,0.030601,0.050964,0.634687,0.981006,0.60539,0.03703
0.65526,0.147793,0.653758,1.994224,0.819343,2.066373,0.031223,0.049651,0.639974,0.999318,0.613339,0.003243
0.65586,0.732881,0.659387,0.662022,0.811035,0.691101,0.030116,0.048672,0.643397,0.416175,0.601687,0.642133
0.650019,1.863262,0.649631,0.174163,0.821062,0.185829,0.029935,0.049743,0.653969,0.002962,0.623793,0.995964
0.654606,2.277093,0.656443,0.147813,0.815559,0.133665,0.029421,0.048997,0.641845,0.003833,0.614335,0.993504
