loss D fake train,loss D fake valid,loss D real train,loss D real valid,loss G GAN train,loss G GAN valid,loss G L1 train,loss G L1 valid,predict fake accuracy train,predict fake accuracy valid,predict real accuracy train,predict real accuracy valid
0.552801,0.578038,0.559212,0.723682,0.963171,0.860463,0.072841,0.063825,0.771401,0.80413,0.784162,0.441772
0.488763,1.131047,0.49484,0.458211,1.108627,0.537489,0.065347,0.068567,0.838072,0.310865,0.825079,0.781315
0.52454,0.657295,0.530694,0.669464,1.025097,0.777407,0.0662,0.066372,0.808074,0.65502,0.774501,0.532373
0.557967,1.110112,0.570809,0.712019,0.964118,0.52334,0.064718,0.089097,0.768107,0.273578,0.723455,0.470284
0.576193,0.565216,0.587883,0.805785,0.926988,0.914422,0.063583,0.060263,0.742549,0.725988,0.706624,0.422606
0.588481,0.745325,0.604034,0.618179,0.905864,0.704121,0.06271,0.060478,0.728653,0.515523,0.686457,0.581906
0.597677,0.732549,0.613199,0.724164,0.893734,0.71564,0.061889,0.083234,0.713795,0.544382,0.680052,0.451523
0.598133,0.967108,0.621043,0.443206,0.885219,0.552609,0.060866,0.068697,0.716409,0.23821,0.66484,0.912814
0.604688,0.63017,0.61943,0.719458,0.879661,0.817023,0.05986,0.061604,0.701286,0.712292,0.668214,0.429926
0.60599,0.43315,0.627581,0.99413,0.871986,1.111099,0.059227,0.05547,0.705801,0.911134,0.647827,0.206903
0.606296,1.412343,0.631821,0.318729,0.873527,0.374876,0.05848,0.056445,0.703807,0.146882,0.651974,0.906145
0.610983,0.722016,0.627776,0.625615,0.869885,0.690888,0.057631,0.057821,0.701287,0.431661,0.653738,0.688145
0.613933,0.489656,0.633189,0.888958,0.864518,0.993768,0.057024,0.058867,0.691217,0.904092,0.641365,0.236798
0.618408,1.070951,0.637046,0.402964,0.857968,0.48289,0.056741,0.062425,0.687098,0.169871,0.635782,0.923507
0.621107,0.714161,0.638095,0.642673,0.858152,0.700322,0.055761,0.057318,0.675484,0.472014,0.642354,0.651468
0.618896,0.705204,0.640067,0.659708,0.852954,0.753982,0.05498,0.05747,0.685753,0.599066,0.635843,0.538372
0.623793,1.122473,0.640001,0.370973,0.855757,0.423756,0.054913,0.05928,0.676007,0.055132,0.642339,0.969995
0.619478,1.489395,0.639938,0.235323,0.846825,0.288974,0.053641,0.059576,0.686582,0.021865,0.639979,0.993118
0.624034,1.015081,0.638769,0.428587,0.846695,0.466169,0.052712,0.05297,0.67041,0.031662,0.639279,0.981754
0.624364,0.369467,0.643345,1.123848,0.841751,1.230969,0.051778,0.054884,0.676863,0.982128,0.634167,0.070497
0.629962,0.269953,0.644243,1.656657,0.838238,1.753062,0.051055,0.05734,0.662249,0.944712,0.636945,0.061702
0.629078,0.511998,0.647998,0.86978,0.83444,0.944262,0.050131,0.052857,0.668908,0.943003,0.621373,0.156521
0.633035,1.110468,0.648755,0.39205,0.833045,0.438244,0.049934,0.058383,0.664734,0.079621,0.617521,0.957551
0.634552,0.857274,0.649575,0.544107,0.82684,0.576809,0.048634,0.052965,0.659639,0.151815,0.619056,0.878686
0.635649,0.499803,0.648979,0.868499,0.8235,0.982048,0.047508,0.054315,0.665791,0.921207,0.624791,0.190505
0.635843,0.276859,0.647051,1.394204,0.817952,1.519859,0.047396,0.05175,0.658181,0.981606,0.623525,0.056976
0.639479,0.642727,0.654592,0.767492,0.817696,0.831252,0.046203,0.052114,0.65334,0.564795,0.611609,0.519074
0.640136,0.707713,0.655704,0.67307,0.811663,0.740809,0.045167,0.054355,0.653111,0.483728,0.612167,0.613845
0.642464,0.185294,0.654586,1.758276,0.81429,1.892043,0.044314,0.054118,0.650484,0.994975,0.60994,0.018995
0.64273,0.335797,0.656788,1.307994,0.809312,1.377638,0.04352,0.054398,0.651831,0.965222,0.615487,0.045146
0.644947,0.673172,0.656899,0.66953,0.808467,0.733186,0.043224,0.052379,0.639846,0.624101,0.61192,0.525845
0.644713,1.312938,0.658296,0.327606,0.80193,0.348306,0.042114,0.051755,0.646265,0.040336,0.615569,0.967643
0.646776,0.232568,0.658368,1.731763,0.802974,1.831767,0.04139,0.053573,0.641068,0.964548,0.613707,0.051521
0.648614,0.763646,0.662383,0.59294,0.804113,0.649664,0.040682,0.051511,0.638041,0.302518,0.603842,0.802486
0.647416,0.592091,0.658734,0.752943,0.801956,0.834666,0.039929,0.055918,0.634354,0.817748,0.61086,0.319716
0.647156,1.246104,0.661514,0.328503,0.794759,0.365267,0.03927,0.050563,0.643707,0.035619,0.598445,0.971488
0.649082,0.871596,0.66203,0.531915,0.795553,0.584653,0.03855,0.052652,0.631219,0.28359,0.609711,0.770356
0.651815,0.878443,0.660893,0.518566,0.791096,0.567339,0.037924,0.050288,0.629223,0.208621,0.603245,0.84466
0.651877,0.279364,0.661793,1.450394,0.789733,1.486378,0.037188,0.051379,0.635314,0.983619,0.592202,0.030523
0.655169,0.154911,0.662825,1.90286,0.792033,2.076579,0.036659,0.051235,0.621639,0.997509,0.599079,0.011553
0.650846,0.845587,0.66301,0.539502,0.792456,0.586335,0.036044,0.050099,0.638328,0.152243,0.601596,0.90431
0.651292,1.385301,0.660683,0.288899,0.79259,0.311193,0.035573,0.05092,0.635582,0.01847,0.599249,0.990429
0.652625,0.734284,0.664741,0.625304,0.788831,0.678419,0.035012,0.049426,0.628208,0.453752,0.605613,0.652918
0.650806,0.593829,0.660735,0.764844,0.785175,0.854914,0.03442,0.048367,0.638227,0.781019,0.607391,0.362776
0.653621,0.260941,0.662036,1.419576,0.791411,1.523755,0.033845,0.049357,0.631636,0.995917,0.59785,0.023557
0.654685,1.649689,0.665889,0.201403,0.790471,0.227145,0.033217,0.049272,0.62745,0.003079,0.592111,0.998833
0.653677,0.520984,0.66054,0.923177,0.785106,0.995385,0.032924,0.048384,0.626073,0.820926,0.596972,0.276314
0.653459,0.40301,0.663321,1.063825,0.788215,1.158297,0.03229,0.047029,0.631509,0.971934,0.599536,0.113882
0.653724,0.51817,0.663442,0.882569,0.786806,0.960023,0.03204,0.049868,0.628463,0.838909,0.59138,0.245817
0.652939,0.730879,0.662471,0.624352,0.786108,0.687929,0.03157,0.047346,0.630305,0.3998,0.598212,0.711736
